Lat,Long,cat2,x,Start
39.01893,-77.03943324,2941,0,12/23/14
39.06179723,-77.12399501,6,0,12/23/14
39.03712096,-77.17920741,2942,0,12/23/14
39.07721875,-76.98867117,29,0,12/23/14
38.99725417,-76.99372617,21,0,12/24/14
39.06507967,-77.12668901,6,0,12/24/14
39.05612863,-77.08263495,24,0,12/24/14
39.04211706,-77.0435486,6,0,12/24/14
39.15262855,-77.21197909,18,0,12/24/14
39.07853224,-77.07440873,6,0,12/25/14
39.14502601,-77.18324606,29,0,12/25/14
39.08680471,-77.14157968,2941,0,12/25/14
39.02197521,-77.14664246,6,0,12/26/14
38.97131882,-77.08948563,6,0,12/26/14
39.16607017,-77.21433135,29,0,12/26/14
39.04130416,-76.98504072,12,0,12/26/14
39.0654265,-77.07665182,18,0,12/26/14
39.0905353,-77.04649466,2942,0,12/26/14
39.05241542,-77.07769167,28,0,12/27/14
39.06259442,-77.16077134,6,0,12/27/14
39.14573436,-77.20378185,8,0,12/27/14
39.07596776,-77.11852013,6,0,12/27/14
39.17497995,-77.20124602,10,0,12/27/14
39.01452938,-77.05187957,27,0,12/27/14
38.96191471,-77.0862487,2941,0,12/27/14
38.99326381,-77.01761224,6,0,12/27/14
39.0360873,-76.9888495,18,0,12/27/14
39.01013449,-77.11485433,28,0,12/28/14
39.08388099,-77.07784302,18,0,12/28/14
39.08586382,-77.15294234,6,0,12/28/14
38.96382744,-77.08722142,6,0,12/28/14
39.04130416,-76.98504072,3,0,12/28/14
39.00805925,-77.2139926,10,0,12/29/14
38.99178744,-77.03063755,10,0,12/29/14
39.17294509,-77.28802618,8,0,12/29/14
39.10293149,-77.29000606,18,0,12/29/14
38.9916456,-77.02661141,6,0,12/29/14
39.08507731,-77.15092712,6,0,12/29/14
38.99193126,-77.09687907,6,0,12/29/14
39.16533817,-77.24941318,27,0,12/29/14
39.05407588,-76.95252542,6,0,12/30/14
38.99156643,-77.0771672,29,0,12/30/14
38.99125585,-77.09569437,2942,0,12/30/14
39.0108739,-76.99982672,5,0,12/30/14
